Rank,Title,Author,Publisher,Pub Date
1,It Ends With Us,Colleen Hoover,Simon & Schuster,8/2/16
2,Verity,Colleen Hoover,Hachette Book Group,10/26/21
3,Fairy Tale,Stephen King,Simon & Schuster,9/6/22
4,Where The Crawdads Sing,Delia Owens,Penguin Group Usa,3/30/21
5,Iâ€™m Glad My Mom Died,Jennette McCurdy,Simon & Schuster,8/9/22
6,Ugly Love,Colleen Hoover,Simon & Schuster,8/5/14
7,Reminders Of Him,Colleen Hoover,Brilliance,1/18/22
8,November 9,Colleen Hoover,Simon & Schuster,11/10/15
9,The Seven Husbands Of Evelyn Hugo,Taylor Jenkins Reid,Simon & Schuster,5/29/18
10,Dreamland,Nicholas Sparks,Random House,9/20/22
